ID,Date,Customer,SoldPN,SoldSN,SalesOrderNo,SalesPrice,SalesCurrency,SalesPriceNote,CorePN,CoreSN,ExchangeStatus,RONumber,RepairShop,AssyStatus,RepairQuotePrice,RepairQuoteCurrency,RepairQuoteNote,FailedNozzles,OwnershipChanged,Comment,OrderStatus,Due
1,08/13/24,Advantage,,,,,,WE CLOSED THE REPAIR SEVICE WITH THEM DUE TO ISSUES,3244858-24,B70014N,RO Assigned,RO659637,Action Aero,,17416.0,USD,17416$,0,Amapola,,Closed,False
2,08/13/24,Advantage,,,,,,WE CLOSED THE REPAIR SEVICE WITH THEM DUE TO ISSUES,3244858-21,B15404V,RO Assigned,RO659638,Action Aero,,31750.0,USD,31750$,0,Amapola,,Closed,False
3,08/13/24,Advantage,597311,1RJ01465,SO52923,,,1 Nozzle replaced. Required to claim with Advantage.,597311,1RJ01465,RO Assigned,RO660263,Action Aero,ASSY COMPLETED from Advantage,,,Q.P $1325 FD $410. 1 EA FAILURE NOZZEL CLAIM WT ADVANTAGE.,1,Amapola,,Closed,False
4,08/13/24,Advantage,,,,,,4 Nozzle replaced; Required to claim with Advantage,597311,618A4285,RO Assigned,RO660264,Action Aero,ASSY COMPLETED from Advantage,,,Q. P $1325 + $410  4 EA FAIL NOZZLE CLAIM ADVANTAGE,4,Amapola,,Closed,False
5,08/13/24,Advantage,597311,10J00287,SO52923,,,Flow Devider Replaced;Required to claim with Advantage,597311,10J00287,RO Assigned,RO660279,Action Aero,ASSY COMPLETED from Advantage,,,QP $1325 + FD.$1000 . (FAILURE NOZZLE CLAIM WT ADVANTAGE),1,Amapola,,Closed,False
6,08/13/24,Advantage,,597311,618A8107,,,WE CLOSED THE REPAIR SEVICE WITH THEM DUE TO ISSUES,597311,618A8107,Received - awaiting RO,,Action Aero,FLOW DEVIDER MISSING from Advantage,,,,0,,,Closed,False
7,08/13/24,Amapola,5009982E,5256,SO52914,14700.0,USD,14700$,5009982E,5256,RO Assigned,RO659977,Action Aero,,375.0,USD,375$,0,Skyward Express,,Closed,False
8,02/27/25,BusyBee,,,,,,,3244873-5,B15590V,RO Assigned,RO660979,Action Aero,,31617.8,USD,31617.80 $,0,BusyBee,Faulty Throttle shaft- $21 k,Open,False
9,04/25/25,BusyBee,,,,61500.0,USD,61500 $,737852A,CSD0192GEN0205,RO Assigned,RO660040,Aeg,,41277.0,USD,41277$,0,BusyBee,APPROVED,Closed,False
10,04/25/25,BusyBee,,,,59500.0,USD,59500 $,737852A,Thomas Carlborg,RO Assigned,RO660191,Aeg,,39686.0,USD,39686$,0,BusyBee,APPROVED,Closed,False
11,08/13/24,I-Fly,5009980E,1199,SO52902,15000.0,USD,15000$,5009980D,1036X,RO Assigned,RO660278,Action Aero,,,,BER $14813.28. SOLD TO A.A  FOR $500 REF ORDER P19419.,0,Amapola,,Closed,False
12,08/13/24,I-Fly,737852A,CSD0611GEN0607,SO52881,45000.0,USD,45000$,73785A,CSD0232GEN0241,RO Assigned,RO660272,Aeg,,,,No price Quoted,0,Amapola,,Closed,False
13,08/13/24,I-Fly,3244858-24,B15421T,SO52902,45000.0,USD,45000$,3244858-24,B15303V,RO Assigned,RO660890,Action Aero,,,,NO PRICE,0,Amapola,,Closed,False
14,08/13/24,I-Fly,PO31182,,SO52902,,,,5009980D,1104,RO Assigned,RO660393,Action Aero,,1075.0,USD,1075$,0,Amapola,,Closed,False
15,08/13/24,I-Fly,PO31182,,SO52902,,,,3244858-24,B15303V,RO Assigned,RO660890,,,,,,0,Amapola,,Closed,False
16,05/29/24,Jetways,,,,,,BER quote+Evaluation fee+Transport Fee+Manhour+ Extra,737852A,CSD0407GEN0308,RO Assigned,RO660224,Aeg,,,,REJECTED,0,Jetways,DONOR (BER),Open,False
17,05/29/24,Jetways,,,,,,BER quote+Evaluation fee+Transport Fee+Manhour+ Extra,737852A,CSD0146GEN0336,RO Assigned,RO660225,Aeg,,,,REJECTED,0,Jetways,DONOR (BER),Open,False
18,10/03/24,Jetways,42011,BI35,,3500.0,USD,3500 $,42011,BI35,RO Assigned,RO660510,Aeg,,,,NO PRICE,0,Jetways,BER,Open,False
19,10/03/24,Jetways,42011,AH-51630,,11000.0,USD,11000 $,42011,AH-51630,RO Assigned,RO660511,Aeg,,2507.0,USD,2507$,0,Jetways,,Open,False
20,10/10/24,Jetways,5009980D,1641,,3500.0,USD,3500 $,5009980D,1641,RO Assigned,RO660392,Action Aero,,,,NO PRICE,0,Jetways,BER,Open,False
21,04/08/25,Jetways,737852A,CSD0358GEN0561,,63000.0,USD,63000 $,737852A,CSD0358GEN0561,RO Assigned,RO660404,Aeg,,31148.0,USD,31148 $,0,Jetways,12 qty of piston replaced,Open,False
22,04/08/25,Jetways,737852A,CSD0206GEN0146,SO52980,72000.0,USD,72000 $,737852A,CSD0206GEN0146,RO Assigned,RO660405,Aeg,,42645.0,USD,42645 $,0,Aerojet,2 qty of piston required,Closed,False
23,04/08/25,Jetways,,,,,,,737852A,CSD0308GEN0311,RO Assigned,RO660406,Aeg,,44688.0,USD,44688 $,0,Jetways,,Open,False
24,04/08/25,Jetways,737852A,CSD0561GEN0431,,67425.0,USD,67425$ shared the invoice,737852A,CSD0561GEN0431,RO Assigned,RO660407,Aeg,,40302.0,USD,40302 $,0,Jetways,2 qty of piston required,Open,False
25,04/08/25,Jetways,737852A,CSD0572GEN0575,,68000.0,USD,68000$ shared the invoice,737852A,CSD0572GEN0575,RO Assigned,RO660408,Aeg,,42573.0,USD,42573 $,0,Jetways,18 qty of piston replaced,Open,False
26,08/13/24,Skyward Express,5009982D,5085,SO52914,9700.0,USD,9700$,5009982D,5085,RO Assigned,RO660135,Action Aero,,7224.0,USD,"722,4$",0,Skyward Express,,Closed,False
